titles,descriptions,links,pubDates
 India: Policeman arrested for raping alleged child gang rape victim, Police in India arrested an officer accused of raping a 13-year-old girl who had gone to the police station to file a gang-rape case., https://www.dw.com/en/india-policeman-arrested-for-raping-alleged-child-gang-rape-victim/a-61690818?maca=en-rss-en-all-1573-rdf, 2022-05-05T08:34:00Z
 Germany plans documentation center on Nazi occupation in Europe," Almost 80 years after the end of the Second World War, the German government has approved a concept for a documentation center in Berlin. Its focus: the effects of the Nazi era in Europe.", https://www.dw.com/en/germany-plans-documentation-center-on-nazi-occupation-in-europe/a-61690542?maca=en-rss-en-all-1573-rdf, 2022-05-05T08:27:00Z
 What are millets and can they help create global food security?, The Russian invasion of Ukraine has pushed food insecurity onto the table. Could an overlooked cereal help steady the situation and feed the global population in an era of climate crisis?, https://www.dw.com/en/what-are-millets-and-can-they-help-create-global-food-security/a-61682721?maca=en-rss-en-all-1573-rdf, 2022-05-05T07:46:00Z
 Germany: Woman sentenced for poking holes in partner's condoms," In what the judge described as a ""historic"" case, a woman has been found guilty of sexual assault after poking holes in her partner's condoms without his knowledge or consent.", https://www.dw.com/en/germany-woman-sentenced-for-poking-holes-in-partner-s-condoms/a-61689670?maca=en-rss-en-all-1573-rdf, 2022-05-05T07:04:00Z
 'Navalny' documentary hits theaters in Germany," Being an outspoken enemy of the Kremlin nearly cost Alexei Navalny his life. In this documentary that feels like a spy thriller, Putin's rival uncovers the facts about his poisoning.", https://www.dw.com/en/navalny-documentary-hits-theaters-in-germany/a-61683768?maca=en-rss-en-all-1573-rdf, 2022-05-05T06:57:00Z
 Germany's Scholz: 'Western Balkans belong in Europe', The leaders of Serbia and Kosovo met with German Chancellor Olaf Scholz in Berlin. Leaders voiced optimism at the prospect of both joining the European Union., https://www.dw.com/en/germany-s-scholz-western-balkans-belong-in-europe/a-61688348?maca=en-rss-en-all-1573-rdf, 2022-05-05T04:15:00Z
 Champions League: Jürgen Klopp's Liverpool to meet Real Madrid in 2018 re-run," Real Madrid will meet Liverpool in the Champions League final following Madrid's late turnaround against Manchester City. It's a repeat of the 2018 final, with Jürgen Klopp determined not to let history repeat itself.", https://www.dw.com/en/champions-league-jürgen-klopp-s-liverpool-to-meet-real-madrid-in-2018-re-run/a-61678834?maca=en-rss-en-all-1573-rdf, 2022-05-04T22:35:00Z
 Scholz stands firm on Ukraine visit amid criticism at home and abroad," Chancellor Olaf Scholz addressed Ukraine's refusal to welcome President Frank-Walter Steinmeier again Wednesday, calling it ""a problem for the German people."" He said Kyiv needed to do its part to resolve the issue.", https://www.dw.com/en/scholz-stands-firm-on-ukraine-visit-amid-criticism-at-home-and-abroad/a-61687080?maca=en-rss-en-all-1573-rdf, 2022-05-04T19:21:00Z
 Ukraine: How drones are changing the way of war, The war in Ukraine shows that unmanned aerial vehicles are part of modern warfare. Drones have various tasks from aerial surveillance to missile defense., https://www.dw.com/en/ukraine-how-drones-are-changing-the-way-of-war/a-61681013?maca=en-rss-en-all-1573-rdf, 2022-05-04T15:55:00Z
 German Overshoot Day: 'We cannot continue like this', Germany has used more resources in the first third of 2022 than are sustainably available to it for an entire year. Here's what needs to change., https://www.dw.com/en/german-overshoot-day-we-cannot-continue-like-this/a-61673016?maca=en-rss-en-all-1573-rdf, 2022-05-04T14:44:00Z
 North Korea cracks down on 'capitalist' pop culture, Some North Koreans are defying strict fashion and style regulations to fight conformity. But their expressions of individualism could cost them their freedom., https://www.dw.com/en/north-korea-cracks-down-on-capitalist-pop-culture/a-61682842?maca=en-rss-en-all-1573-rdf, 2022-05-04T13:58:00Z
 DW documentary 'Guardians of Truth' premieres in Berlin, Turkish journalist Can Dündar and Mexican investigative journalist Anabel Hernandez both live in exile. They share their stories in a new documentary and at the Berlin premiere., https://www.dw.com/en/dw-documentary-guardians-of-truth-premieres-in-berlin/a-61683697?maca=en-rss-en-all-1573-rdf, 2022-05-04T13:47:00Z
 COVID: Omicron variants are 'escaping previous immunity'," You may be at risk of catching new COVID subvariants BA.4 or BA.5 even if you had the original omicron, as virologist Alex Sigal told DW's Science Unscripted.", https://www.dw.com/en/covid-omicron-variants-are-escaping-previous-immunity/a-61673415?maca=en-rss-en-all-1573-rdf, 2022-05-04T12:34:00Z
 Germany warns prices may spike as Russia sanctions tighten, Germany's Cabinet has wrapped two days and talks about the war in Ukraine and its impact on the German economy. The government warned that a planned EU oil embargo could cause supply problems and even higher inflation., https://www.dw.com/en/germany-warns-prices-may-spike-as-russia-sanctions-tighten/a-61681026?maca=en-rss-en-all-1573-rdf, 2022-05-04T11:24:00Z
 Ukrainian troops get training in Germany, Ukrainian soldiers are receiving weapons training on military bases in Germany. Legal advisers are discussing whether that makes Germany a party to war., https://www.dw.com/en/ukrainian-troops-get-training-in-germany/a-61682712?maca=en-rss-en-all-1573-rdf, 2022-05-04T11:21:00Z
 Open letter about weapons deliveries to Ukraine draws criticism, The publication of an open letter to German Chancellor Scholz signed by leading cultural figures has triggered a fierce debate about the planned delivery of heavy weapons to Ukraine — especially on social media., https://www.dw.com/en/open-letter-about-weapons-deliveries-to-ukraine-draws-criticism/a-61660104?maca=en-rss-en-all-1573-rdf, 2022-05-04T08:57:00Z
 Can Algeria contribute to the EU's energy security?," Timely decisions, long-term commitments and a broader vision could help the European Union increase ties with the Western Mediterranean. Algeria, with its large reserves, could enhance the bloc's energy security.", https://www.dw.com/en/can-algeria-contribute-to-the-eu-s-energy-security/a-61680466?maca=en-rss-en-all-1573-rdf, 2022-05-04T08:18:00Z
 DOK.fest Munich puts spotlight on Ukraine," After a two-year break due to the pandemic, the documentary film festival is once again held in cinemas. A political thriller about Alexei Navalny opens the event.", https://www.dw.com/en/dok-fest-munich-puts-spotlight-on-ukraine/a-61674310?maca=en-rss-en-all-1573-rdf, 2022-05-04T07:59:00Z
 Will buying cars online really take off?," Boosted by the popularity of electric automaker Tesla, more people than ever are buying vehicles online. UBS estimates the web will make up half of all car sales by 2030, but what will that mean for traditional dealers?", https://www.dw.com/en/will-buying-cars-online-really-take-off/a-61676761?maca=en-rss-en-all-1573-rdf, 2022-05-03T22:00:00Z
 Breed accounts for less than 10% of a dog's behavior," If you're looking for a dog with a specific personality, its breed will tell you less than the environment in which it is raised, a new study suggests.", https://www.dw.com/en/breed-accounts-for-less-than-10-of-a-dog-s-behavior/a-61634800?maca=en-rss-en-all-1573-rdf, 2022-05-03T13:48:00Z
 To be fire and flame: German expressions with 'fire'," May 4 marks International Firefighters' Day — a time to honor their work, while also learning some German expressions involving fire.", https://www.dw.com/en/to-be-fire-and-flame-german-expressions-with-fire/a-56983232?maca=en-rss-en-all-1573-rdf, 2022-05-03T13:40:00Z
 Will an EU oil embargo put the lights out at Schwedt's refinery?," As EU member states push for a Russian oil embargo, Germany's PCK Schwedt refinery is facing an uncertain future. It runs wholly on Russian imports, and many locals aren't so sure alternatives can be found in time.", https://www.dw.com/en/will-an-eu-oil-embargo-put-the-lights-out-at-schwedt-s-refinery/a-61668807?maca=en-rss-en-all-1573-rdf, 2022-05-03T09:36:00Z
 Carbon farming: Climate change solution or greenwashing?, European agriculture produces millions of tons of CO2 every year. Could encouraging farmers to capture carbon on their land to sell credits to businesses help reduce emissions?, https://www.dw.com/en/carbon-farming-climate-change-solution-or-greenwashing/a-61532175?maca=en-rss-en-all-1573-rdf, 2022-05-03T07:30:00Z
 'Zombie TV': The disintegration of Russia's free press," On World Press Freedom Day, a look at how Russia's media has evolved since the 1990s: 37 journalists have been murdered in Russia since Vladimir Putin took office in 2000.", https://www.dw.com/en/zombie-tv-the-disintegration-of-russia-s-free-press/a-61661855?maca=en-rss-en-all-1573-rdf, 2022-05-03T07:25:00Z
 DW documentary series 'Guardians of Truth' looks at press freedom," In this new DW documentary series, exiled Turkish journalist Can Dündar meets Mexican journalist Anabel Hernandez. Both have paid a high price for their fight for truth.", https://www.dw.com/en/dw-documentary-series-guardians-of-truth-looks-at-press-freedom/a-61657700?maca=en-rss-en-all-1573-rdf, 2022-05-03T06:36:00Z
 Bundesliga: Leverkusen jubilant as top-four race tilts away from RB Leipzig," Monday's doubleheader saw Leverkusen tighten their grip on a top four place in the Bundesliga. While Moussa Diaby and Patrik Schick shone for Leverkusen against Frankfurt, RB Leipzig crashed in Mönchengladbach.", https://www.dw.com/en/bundesliga-leverkusen-jubilant-as-top-four-race-tilts-away-from-rb-leipzig/a-61666300?maca=en-rss-en-all-1573-rdf, 2022-05-02T21:38:00Z
 Germans split over heavy weapons deliveries to Ukraine, The German public is divided on the issue of military support for Ukraine. Many fear the delivery of tanks and training of Ukrainian soldiers in Germany may drag the country into the war., https://www.dw.com/en/germans-split-over-heavy-weapons-deliveries-to-ukraine/a-61664515?maca=en-rss-en-all-1573-rdf, 2022-05-02T15:33:00Z
 Is India facing a post-pandemic employment crisis?," India's job market is tightening, and skilled workers are finding it harder to enter the workforce. Government job drives and the informal economy have been unable to make up the difference.", https://www.dw.com/en/is-india-facing-a-post-pandemic-employment-crisis/a-61662629?maca=en-rss-en-all-1573-rdf, 2022-05-02T14:31:00Z
 What are the COVID entry rules for travelers to European countries?, Most European countries have lifted travel restrictions — despite ongoing high infection numbers. DW Travel has compiled this overview of EU rules., https://www.dw.com/en/what-are-the-covid-entry-rules-for-travelers-to-european-countries/a-58017284?maca=en-rss-en-all-1573-rdf, 2022-05-02T14:07:00Z
 Record-breaking heat waves show we need to adapt to the climate crisis now," India is just the latest country to face life-threatening temperatures before summer has even started. As extreme heat becomes more frequent around the world, how can affected areas adapt to remain livable?", https://www.dw.com/en/record-breaking-heat-waves-show-we-need-to-adapt-to-the-climate-crisis-now/a-61661802?maca=en-rss-en-all-1573-rdf, 2022-05-02T13:28:00Z
 COVID travel restrictions: Germany," Travel in Europe is subject to COVID-19 restrictions. The omicron variant has led to higher numbers of infections, which are often less severe. This is how Germany is responding to the current situation.", https://www.dw.com/en/covid-travel-restrictions-germany/a-60771733?maca=en-rss-en-all-1573-rdf, 2022-05-02T09:37:00Z
 The story of Germany's national anthem," Created in the 19th century, the ""Deutschlandlied"" was sullied by the Nazis. Germany decided 70 years ago it would adopt only the third verse of the original song as its national anthem.", https://www.dw.com/en/the-story-of-germany-s-national-anthem/a-61638407?maca=en-rss-en-all-1573-rdf, 2022-05-02T08:58:00Z
" Pride in defeat, growing support and hope for the future for Wolfsburg's women"," Wolfsburg lost on aggregate to Barcelona, but victory on the night and a clear philosophy off the field is earning them support — culminating in a record attendance on Saturday. The path forward for the club is clear.", https://www.dw.com/en/pride-in-defeat-growing-support-and-hope-for-the-future-for-wolfsburg-s-women/a-61651457?maca=en-rss-en-all-1573-rdf, 2022-05-01T14:59:00Z
" Europe cooperates on gas, as Russia turns off taps to Poland and Bulgaria"," Russia has halted gas exports to Poland and Bulgaria, ramping up the pressure on all EU states to find alternative suppliers. Some are working on cutting Russian gas altogether, others have plans to share with neighbors.", https://www.dw.com/en/europe-cooperates-on-gas-as-russia-turns-off-taps-to-poland-and-bulgaria/a-61641814?maca=en-rss-en-all-1573-rdf, 2022-04-30T05:49:00Z
" Russia posts trained dolphins at Black Sea naval base, satellite images show"," Dolphin pens were moved to the Black Sea naval base around the time Russia invaded Ukraine, according to the US Naval Institute's analysis of satellite imagery.", https://www.dw.com/en/russia-posts-trained-dolphins-at-black-sea-naval-base-satellite-images-show/a-61640460?maca=en-rss-en-all-1573-rdf, 2022-04-29T15:51:00Z
 Europa League: RB Leipzig one step closer to a second final — but would a trophy bring acceptance?," After victory over Rangers, RB Leipzig are one step closer to reaching their first-ever European final. The club hope a trophy might legitimize their place in German football, but are there some things money can't buy?", https://www.dw.com/en/europa-league-rb-leipzig-one-step-closer-to-a-second-final-but-would-a-trophy-bring-acceptance/a-61638461?maca=en-rss-en-all-1573-rdf, 2022-04-29T13:38:00Z
 Origin of hepatitis outbreak in kids is still unknown," Doctors are puzzled by an unknown strain of hepatitis presenting in children, which has in some cases caused liver failure. But they are learning more. Symptoms are like jaundice.", https://www.dw.com/en/origin-of-hepatitis-outbreak-in-kids-is-still-unknown/a-61625520?maca=en-rss-en-all-1573-rdf, 2022-04-29T12:56:00Z
 Elvira Nabiullina: The central banker Vladimir Putin is relying on to clean up Russia's economic mess, Elvira Nabiullina has charmed many in the West with her policymaking — and clothing choices. Analysts say she has blemished her reputation by remaining at the helm to help sustain Putin's war machine in Ukraine., https://www.dw.com/en/elvira-nabiullina-the-central-banker-vladimir-putin-is-relying-on-to-clean-up-russia-s-economic-mess/a-61634244?maca=en-rss-en-all-1573-rdf, 2022-04-29T11:21:00Z
 About a million people live near dangerous dams in Brazil," Data analysis by DW reveals many Brazilians live near dams that, without proper maintenance and governmental oversight, could be deadly in the case of failure.", https://www.dw.com/en/about-a-million-people-live-near-dangerous-dams-in-brazil/a-61523548?maca=en-rss-en-all-1573-rdf, 2022-04-29T07:53:00Z
 Eintracht Frankfurt show 'Europa League face' against West Ham in London, Frankfurt lead their Europa League semifinal following an absorbing first leg in London. The German club continue to show their best form in Europe as they beat West Ham to hold the advantage ahead of the return leg., https://www.dw.com/en/eintracht-frankfurt-show-europa-league-face-against-west-ham-in-london/a-61630159?maca=en-rss-en-all-1573-rdf, 2022-04-28T22:52:00Z
 Cashing in: No payment problems for Russian tourists in Turkey," Turkey is trying to attract more Russian tourists by expanding the usage of the Russian Mir payment system in the country, as it seeks to bypass payment bottleneck created by Western sanctions.", https://www.dw.com/en/cashing-in-no-payment-problems-for-russian-tourists-in-turkey/a-61622480?maca=en-rss-en-all-1573-rdf, 2022-04-28T14:17:00Z
 Putin and Parkinson's: What experts say about his health, A video released by the Kremlin last weekend shows Putin in seemingly bad health. Some commentators and tabloids claim he has Parkinson's. What do doctors think?, https://www.dw.com/en/putin-and-parkinson-s-what-experts-say-about-his-health/a-61597476?maca=en-rss-en-all-1573-rdf, 2022-04-28T12:47:00Z
 Swiping right on climate love: Dating apps and environmental advocacy, Dating platforms have noticed their users are hot for climate issues and are incorporating features to help them connect with each other. But how useful are additions like OkCupid's climate advocate badge?, https://www.dw.com/en/swiping-right-on-climate-love-dating-apps-and-environmental-advocacy/a-61600741?maca=en-rss-en-all-1573-rdf, 2022-04-28T08:49:00Z
 Germany top buyer of Russian energy since Ukraine invasion began: report," Russian fossil fuel exports are undermining sanctions imposed on the Kremlin over its invasion of Ukraine, a study says. Germany and the EU remain the biggest buyers of Russian energy.", https://www.dw.com/en/germany-top-buyer-of-russian-energy-since-ukraine-invasion-began-report/a-61616274?maca=en-rss-en-all-1573-rdf, 2022-04-28T06:16:00Z
 Mars probe discovers 'shocking' new aurora, The Emirates Mars Mission says it's a first: They have spotted a worm-like aurora that stretches halfway round Mars. It looks like our northern lights., https://www.dw.com/en/mars-probe-discovers-shocking-new-aurora/a-61610851?maca=en-rss-en-all-1573-rdf, 2022-04-27T14:46:00Z
 Europe's 'middle class' clubs battle to save Champions League, UEFA are proposing to increase the number of games in the Champions League and offer a safety net to its richest clubs. The plans have been derided as a Super League by the back door and some clubs are fighting back., https://www.dw.com/en/europe-s-middle-class-clubs-battle-to-save-champions-league/a-61610828?maca=en-rss-en-all-1573-rdf, 2022-04-27T14:45:00Z
 Turning the tide on land degradation," Human activity has led to widespread land degradation and put our very survival as a species at risk. But by reversing course, we can tackle climate change and biodiversity loss — and make a better life for billions.", https://www.dw.com/en/turning-the-tide-on-land-degradation/a-61606070?maca=en-rss-en-all-1573-rdf, 2022-04-27T13:00:00Z
 Warsaw and Budapest split over Russian energy ties," Poland and Hungary have shared a tilt towards the nationalist right, bound also by a mutual distrust of the EU. But their relations with Russia are anything but alike. DW explores the energy ties that bind — and don't.", https://www.dw.com/en/warsaw-and-budapest-split-over-russian-energy-ties/a-61595947?maca=en-rss-en-all-1573-rdf, 2022-04-27T09:17:00Z
 Elon Musk buys Twitter: What it means for the platform," Musk's vision of creating a bastion of free speech with less moderation and a higher bar for removing offending tweets could also lead to more abusive content, disinformation and hate speech, critics fear.", https://www.dw.com/en/elon-musk-buys-twitter-what-it-means-for-the-platform/a-61598916?maca=en-rss-en-all-1573-rdf, 2022-04-26T17:13:00Z
 Endometriosis: The long wait for a diagnosis, Sabrina Lobing waited more than a decade for a diagnosis that explained her symptoms. Now she knows she has endometriosis — a disease that little is known about and yet is very common., https://www.dw.com/en/endometriosis-the-long-wait-for-a-diagnosis/a-61581101?maca=en-rss-en-all-1573-rdf, 2022-04-26T12:35:00Z
