name,alternate_names,code,population,latitude,longitude
Komariv,"Comarova,Gomarova,Komariv,Komarov,Komarova,Kumarova,Комарів",PPL,1804,48.56125,26.9887
Klenovyi,"Klenovij,Klenovyi,Klenovyy,Кленовий",PPL,2259,48.11934,39.4588
Holubivka,"Golubivka,Golubovka,Holubivka,Kirovs'k,Kirovsk,Kirovs’k,Голубівка,Кировск,Кіровськ",PPL,26838,48.63751,38.6428
Khriatska,"Hreatca,Hreațca,Khiatska,Khriatska,Khrjac'ka,Khrjacka,Khryatska,Хряцка,Хряцька",PPL,1992,48.1655,26.18714
Khmelnytskyi,"Chmelnyzkyj,Chmielnicki,HMJ,Hmeljnicki,Khmel'nic'kij,Khmel'nickij,Khmelnytskyi,Khmelnytskyï,Ploskuriv,Ploskurov,Ploskurow,Płoskurów,Плоскуров,Плоскурів,Хмельницкий,Хмельницький",PPLA,271263,49.41835,26.97936
Yarivka,"Hajdeu de Sus,Jarivka,Jarovka,Yarivka,Яровка,Ярівка",PPL,1223,48.35915,26.52994
Novofedorivka,"Novofedorivka,Novofjodorovka,Novofédorivka,Новофедорівка,Новофёдоровка",PPL,1015,46.77089,31.30912
Komyshivka,"Hagi-Curda,Kamishovka,Kamyshovka,Khadzhi-Kurda,Komishivka,Komychivka,Komyschiwka,ke mi shen fu ka,Камишовка,Камышовка,Комишівка,Хаджи-Курда,科米什夫卡",PPL,3491,45.51876,29.12375
Kamyanka,"Kam'janka,Kamenka,Kamianka,Mangeym,Кам’янка",PPL,1390,46.63528,30.24121
Hradenytsi,"Gradenici,Gradenicy,Gradenitsa,Gradenitsy,Hradenytsi,Граденицы,Градениці",PPL,4668,46.59691,30.00244
Hayvoron,"Gajvoron,Haivoron,Haïvoron,Гайворон",PPLA2,14523,48.34323,29.86592
Trybukhivtsi,"Druzhba,Tribukhivci,Tribukhovtsy,Trybukhivtsi,Дружба,Трибухівці",PPL,1586,49.04099,25.45551
Dniprovka,"Dneprovka,Dniprovka,Днепровка,Дніпровка",PPL,3873,47.42844,34.61824
Znamyanka,"Chervonoznam'janka,Chervonoznamenka,Chervonoznamianka,Katarzhino,Stalino,Znam'janka,Znamianka,Знам’янка,Червонознам’янка",PPL,4134,47.01667,30.29485
Boiarka,"Boiarka,Bojarka,Boyarka,Boyarka-Budayevka,Budayevka,Боярка",PPL,35312,50.31911,30.29728
Borzna,"Borsna,Borzna,bo er zi na,boruzuna,borzna,bwrzna,Борзна,Բորզնա,بورزنا,ბორზნა,ボルズナー,博爾茲納",PPL,9632,51.25464,32.4269
Borivtsi,"Borauti,Borivci,Borivtsi,Borovtse,Borovtsy,Borăuti,Борівці",PPL,1601,48.58529,25.63979
Berezan,"Beresan,Berezan,Berezan',Berezan’,Березань",PPL,16202,50.3112,31.46712
Bilovods'k,"Belovodsk,Belowodskoje,Bilovods'k,Беловодск",PPL,8626,49.20846,39.58975
Bilousivka,"Beloushovka,Belousovka,Bilo'oussivka,Bilousivka,Білоусівка",PPL,3057,48.5356,27.33933
Bilozirka,"Barmashove,Barmashovo,Belozjorka,Bilozirka,Бармашове,Белозёрка,Білозірка",PPL,1757,47.08769,32.45117
Avdiivka,"Avdeevka,Avdeyevka,Avdiivka,Avdiyivka,a fu ji yi fu ka,avdeevkʼa,Авдеевка,Авдіївка,ავდეევკა,阿夫季伊夫卡",PPL,2012,51.7766,32.79988
Oleksandrivka,"Aleksandrovka,Oleksandrivka,Олександрівка",PPL,3660,46.61147,30.86444
Staryi Dobrotvir,"Starij Dobrotvir,Staryi Dobrotvir,Staryy Dobrotvir,Staryy Dobrotvor,Старий Добротвір",PPL,6436,50.23154,24.37701
Zelena,"Zelena,Zelenaya,Zelënaya,Зелена",PPL,1980,48.36385,26.73497
Zakupne,"Zakoupne,Zakoupné,Zakupne,Zakupnoe,Закупне,Закупное",PPL,1384,49.11721,26.33256
Velykoploske,"Bol'shoye Ploskoye,Bol’shoye Ploskoye,Ploskoye,Velikoploske,Velikoploskoe,Velikoploskoye,Velykoploske,Великоплоске,Великоплоское",PPL,3344,47.01317,29.67094
Velyka Mechetnya,"Velika Mechetnja,Velikaja Mechetnja,Velyka Metchetnia,Vélyka Métchetnia,Велика Мечетня,Великая Мечетня",PPL,1353,48.08733,30.59032
Turiisk,"Turiisk,Turijs'k,Turisk,Turiys'k,Turiysk,Turiys’k,Turzysk,Tuzhisk,Турійськ",PPL,5855,51.08644,24.52294
Tomakivka,"Tomakivka,Tomakiwka,Tomakovka,Томаковка,Томаківка",PPLA2,6828,47.81081,34.74324
Terpinnia,"Terpen'ye,Terpeniye,Terpen’ye,Terpinna,Terpinnia,Terpinnja,Terpinnya,Терпіння",PPL,4656,46.98205,35.42264
Tamaryne,"Tamarine,Tamarino,Tamaryne,Тамарине",PPL,1066,47.01875,33.00243
Talalaivka,"Talalaivka,Talalayevka,Talalayivka,Талалаївка",PPLA3,0,50.83913,33.14374
Ivanove,"Ivanove,Sverdlove,Sverdlovo,Іванове,Свердлове",PPL,1560,46.67688,30.88484
Studenok,"Studenok,Студенок",PPL,1440,49.08888,37.48999
Striukove,"Striukove,Strjukove,Stryukove,Stryukovo,Стрюкове",PPL,2066,47.37546,30.57588
Strogonovka,"Mamak,Strogonivka,Strogonovka,Мама́к,Строгоновка,Строгонівка",PPL,3337,44.9497,34.17924
Stepnoye,"Munij,Stepne,Stepnoe,Stepnoye,Муни́й,Степне,Степное",PPLA3,1461,45.65212,33.77441
Stanislav,"Stanislav,Станіслав",PPL,4726,46.57309,32.15001
Sokal,"Sokal,Sokal',Sokal’,Сокаль",PPL,20659,50.47438,24.28288
Malen’koye,"Kichkine,Malen'ke,Malen'koe,Malen'koye,Malen’koye,Кичкине́,Маленьке,Маленькое",PPL,1546,45.07585,33.99942
Prudovoye,"Prudove,Prudovoe,Prudovoye,Прудове,Прудовое",PPL,1009,44.90424,33.78114
Simeikyne,"Semejkino,Semeykino,Semeykinskiy,Simeikyne,Simejkine,Simeykyne,Семейкино,Сімейкине",PPL,2493,48.32643,39.53366
Semenivka,"Semenivka,Semenivka i Tsjernihiv oblast,Semeniwka,Semenovka,Seminovka,Semionovka,Semjonovka,Semyonovka,Semënovka,Ssemenowka,smnybqh,smnyfka,xie miao nuo fu ka,Семеновка,Семенівка,Семёновка,Սեմյոնովկա,סמניבקה,سمنیفکا,სემიონოვკა,謝苗諾夫卡",PPLA2,7952,52.1786,32.58181
Selyshche,"Selishche,Selishhe,Selishtya,Selistea,Seliștea,Selyshche,Селище",PPL,1375,48.49899,27.08969
Sarata,"Sarata,Sărata,sa la ta,Сарата,薩拉塔",PPLA2,4257,46.02056,29.66444
Salkove,"Sal'kove,Sal'kovo,Salkove,Salkové,Салькове,Сальково",PPL,1651,48.25677,29.98347
Potelych,"Potelich,Potelych,Potylich,Potylicz,Потелич",PPL,2500,50.20804,23.54674
Kurisove,"Kurisove,Kurisovo,Petrivka,Petrovka,Petrovskoye,Курісове,Петрівка",PPL,3676,46.96951,30.95914
Orzhiv,"Orzhev,Orzhiv,Оржів",PPL,3835,50.75227,26.11907
Olyshivka,"Olischewka,Olishevka,Olishivka,Olishëvka,Olyshivka,Олишевка,Олишівка",PPL,1819,51.22266,31.33314
Obodivka,"Obodivka,Obodovka,Obodovka Novaya,Ободовка,Ободівка",PPL,3378,48.40063,29.25588
Novi Troyany,"Novi Troiany,Novi Trojani,Novi Troïany,Novye Trojany,Nowi Trojany,Traian,Traianu-Nou,xin te luo ya ni,Нови Трояни,Новые Трояны,Нові Трояни,新特羅亞尼",PPL,4234,45.943,28.85947
Novi Sanzhary,"Novi Sanjary,Novi Sanzhari,Novye Sanzhary,Новые Санжары,Нові Санжари",PPLA2,8179,49.33379,34.31496
Novozhilovka,"Besharan-Otar,Novozhilivka,Novozhilovka,Бешара́н-Ота́р,Новожиловка,Новожилівка",PPLA3,1679,45.1596,34.2327
Novosvitlivka,"Novosvetlovka,Novosvitlivka,Nowoswitliwka,xin si wei te li fu ka,Новосветловка,Новосвітлівка,新斯維特利夫卡",PPL,3660,48.49285,39.50699
Nova Dofinivka,"Dofinovka,Nova Dofinivka,Novaya Dofinivka,Novaya Dofinovka,Нова Дофінівка",PPL,1344,46.58,30.90601
Nedryhailiv,"Nedrigajliv,Nedrigajlov,Nedrigaylov,Nedryhailiv,Nedryhayliv,Недригайлов,Недригайлів",PPLA3,5323,50.83398,33.87626
Murovani Kurylivtsi,"Mourovani Kourylivtsi,Murovani Kurilivci,Murovanye Kurilovcy,Мурованые Куриловцы,Муровані Курилівці",PPLA2,5859,48.71813,27.53084
Malyntsi,"Malinci,Malincy,Malinti,Malinți,Malyntsi,Малинцы,Малинці",PPL,2240,48.42686,26.22601
Malyn,"Malin,Malina,Malyn,Malynas,Malîn,Malın,ma lin,malini,malyn,Малин,Մալին,מאלין,مالین,მალინი,馬林",PPL,25587,50.77233,29.23833
Maliyivka,"Malievka,Maliivka,Maliïvka,Малиевка,Маліївка",PPL,1032,47.48547,32.73167
Luhansk,"Loehansk,Louchansk,Louhansk,Lugan'sk,Lugans'k,Lugansk,Luganskaj,Lugánsk,Luhans'k,Luhansk,Luhanska,Luhanskas,Luhansko,Luhanszk,Luhans’k,Lukhansk,Luqansk,VSG,Voroshilovgrad,Woroschilowgrad,lu gan si ke,luhansikeu,lwhansk,lwhnsq,ruhanshiku,Ługańsk,Łuhańsk,Λουχάνσκ,Ворошиловград,Луганск,Луганскай,Луганськ,Луганьск,Луханск,Луһанск,Լուգանսկ,לוהנסק,لوهانسك,لوهانسک,لوہانسک,ლუგანსკი,ルハーンシク,卢甘斯克,루한시크",PPLA,452000,48.56952,39.32857
Lugovoye,"Agibel',Lugove,Lugovoe,Lugovoye,Агибель,Лугове,Луговое",PPLA3,906,45.23469,35.72202
Lymanske,"Limans'ke,Limanskoe,Lymanske,Lymanské,Sel'ts,Sel’ts,Zel'ts,Zel'tsy,Zel’ts,Zel’tsy,Лиманское,Лиманське",PPL,7185,46.67952,29.97231
Leninskoye,"Lenins'ke,Leninskoe,Leninskoye,Petrovskoe,Ленинское,Ленінське,Петро́вское",PPLA3,1671,45.25373,35.91969
Kupka,"Cupca,Kupka,Купка",PPL,2671,48.04799,25.78175
Kryva Balka,"Kriva Balka,Krivaja Balka,Kryva Balka,Крива Балка,Кривая Балка",PPL,1489,46.9582,31.8103
Krasnoyilsk,"Crasna,Krasnoil's'k,Krasnoil'sk,Krasnoilsk,Krasnoïlsk,Красноильск,Красноїльськ",PPL,10428,48.01865,25.56004
Kramatorsk,"Kramators'k,Kramatorsk,Kramatorska,Kramatorskaja,Kramatorskaya,Kramators’k,Краматорск,Краматорска,Краматорськ",PPLA2,150084,48.73049,37.58793
Kolodeznoye,"Chongrav,Kolodeznoe,Kolodeznoye,Kolodjazne,Колодезное,Колодязне,Чонгра́в",PPLA3,997,45.22682,34.33698
Kitsman,"Cotman,Cozmeni,Kicman',Kitsman,Kotsman,Kotsmen,Kotzman,Кицмань,Кіцмань",PPLA2,6229,48.43867,25.76111
Khyriv,"Chyriw,Chyrow,Chyrów,Hiriv,Hiriva,Hîriv,Hıriv,Khiriv,Khyriv,Khyrov,Khyruv,Kolo Chyrowa,Xirov,hei luo fu,hyrwb,khirovi,khyryf,Хирів,Хыров,Խիրով,חירוב,خیریف,ხიროვი,黑羅夫",PPL,4419,49.53345,22.85312
Petrivka,"Khutor-Petrovka,Petrivka,Petrovka,Петрівка",PPL,1160,46.99814,31.76372
Hulyaypole,"Guljajpole,Houliaipole,Houliaïpolé,Гуляйполе",PPLA2,13446,47.66685,36.25576
Hrebinka,"Grebinka,Grebjonka,Hrebinka,Hrébinka,Tin',Гребёнка,Гребінка,Тінь",PPLA2,10713,50.12017,32.42966
Horodnia,"Gorodnja,Gorodnya,Horodnia,Horodnya,Городня",PPL,11710,51.89085,31.59741
Horodyshche,"Gorodishhe,Horodychtche,Horodychtché,Городище",PPLA2,13609,49.29114,31.44035
Toretsk,"Dzerzhins'k,Dzerzhinsk,Dzerzhyns'k,Dzerzhyns’k,Imeni Dzerzhinskogo,Toretsk,Дзержинск,Дзержинськ",PPLA2,41758,48.39869,37.84787
Kubey,"Chervonoarmiis'ke,Chervonoarmijs'ke,Cubei,Kubei,Kubej,Kubéï,qie er wo nuo a er mi xi ke,Кубей,Червоноармійське,切爾沃諾阿爾米西克",PPL,6544,45.79131,28.74455
Chernelytsya,"Chernelicja,Czernelica,Tchernelytsia,Tchernélytsia,Чернелиця",PPL,1533,48.81302,25.42682
Dolishniy Shepit,"Dolichnii Chepit,Dolichniï Chépit,Dolishnij Shepit,Dolishnij Shepot,Sipotele pe Siret,Șipotele pe Siret,Долишний Шепот,Долішній Шепіт",PPL,1304,48.00356,25.28075
Buda,"Buda,Буда",PPL,1452,48.30839,26.0269
Bilky,"Belka,Belki,Bil'ki,Bilki,Bilky,Bil’ki,Белка,Білки",PPL,8064,48.32629,23.13811
Bekhtery,"Bekhteri,Bekhtery,Бехтери",PPL,2909,46.24924,32.29527
Balkivtsi,"Balcauti,Balkivci,Balkivtsi,Balkovcy,Bălcăuți,Балковцы,Балківці",PPL,1577,48.35,26.56667
Armyansk,"Armjans'k,Armjansk,Armyansk,Ermeni Bazar,Армянск,Армянськ",PPLA2,24442,46.10919,33.69206
Ananyiv,"Anan'ev,Anan'iv,Ananiv,Ananjew,Ananïv,ʼnnyyb,Ананьев,Ананьїв,אננייב",PPL,7789,47.71975,29.95711
Amurskoye,"Alabash-Konrat,Amurs'ke,Amurskoe,Amurskoye,Алаба́ш-Конра́т,Амурское,Амурське",PPLA3,2687,45.27822,34.12823
Alupka,"Aloupka,Alupk,Alupka,Alupko,Ałupka,a lu pu ka,alwbka,alwpka,Αλούπκα,Алупка,Алупко,Ալուպկա,آلوپکا,ألوبكا,ალუპკა,阿盧普卡",PPL,7771,44.41952,34.04489
Aleksandrovka,"Aleksandrovka,Bij-Akaj-Kemel'chi,Oleksandrivka,Александровка,Бий-Ака́й-Кемельчи́,Олександрівка",PPLA3,1301,45.57654,34.09947
Aeroflotskiy,"Aehroflotskij,Aeroflots'kij,Aeroflots'kyy,Aeroflotskiy,Aeroflots’kyy,Аерофлотський,Аэрофлотский",PPL,1768,45.01816,33.99961
Popasna,"Imeni Kaganovicha,Imeni L.M. Kaganovicha,Kaganovich,Kaganowitsch,Popasna,Popasnaja,Popasnaya,Popasnyj,bo pa si na,pwpasna,Попасна,Попасная,Попасный,Պոպասնայա,پوپاسنا,პოპასნაია,波帕斯納",PPL,25442,48.63328,38.37804
Polohy,"Pologi,Pologı,Polohi,Polohy,Polohî,Połohy,bo luo ji,pwlwhy,Пологи,Պոլոգի,פולוהי,پولوهی,პოლოგი,波洛吉",PPLA2,18886,47.47865,36.25463
Hvozdavka Druha,"Gvozdavka,Gvozdavka Druga,Gvozdavka Vtoraya,Gvozdovka,Gvozdovka Vtoraya,Hvozdavka Drouha,Гвоздавка Друга",PPL,1074,47.88979,30.08836
Zuhres,"Suhres,Zouhres,Zugrehs,Zugres,Zuhres,Zuhresa,Zuhresas,Zuһres,zu he lei si,zugresi,zwhrs,zwھrs,Зугрес,Зугрэс,Зуһрес,Զուգրես,زوهرس,زوھرس,ზუგრესი,祖赫雷斯",PPL,17924,48.0114,38.26444
Zimino,"Perecfel'd,Zimine,Zimino,Зимине,Зимино,Перецфе́льд",PPLA3,1000,45.50797,33.51431
Zboriv,"Zboriv,Zborov,Zborow,Zborów,Зборов,Зборів",PPLA2,6695,49.66493,25.14019
Zarozhany,"Zarojani,Zarojany,Zarozhani,Zarozhany,Зарожани,Зарожаны",PPL,3284,48.41546,26.29894
Yalta,"Jalta,Yalta,Ялта",PPL,5519,46.96098,37.27446
Yabluniv,"Jablonov,Jablonow,Jabluniv,Jabłonów,Yablouniv,Яблонов,Яблунів",PPL,2042,48.40235,24.94038
Vylkove,"Valcov,Vilkiv,Vilkove,Vilkovo,Vylkaveh,Vylkove,Vylkové,Vylkovė,Vâlcov,Vılkove,Wilkowo,Wylkowe,fylkwfy,wei er ke wo,wylkwfh,Вилкове,Вилково,Вилків,Вылкавэ,Վիլկովո,فيلكوفي,ویلکوفه,ვილკოვო,維爾科沃",PPL,7804,45.40279,29.5869
Vozsiyatske,"Vossijatskoe,Vozsiiatske,Vozsijats'ke,Vozsiïatské,Возсіятське,Воссиятское",PPL,2185,47.66047,32.11284
Vynohradivka,"Burgudzhi,Burgugi,Vinogradivka,Vinogradovka,Vynohradivka,Wynohradiwka,wei nuo ge la ji fu ka,Бургуджи,Виноградовка,Виноградівка,維諾格拉季夫卡",PPL,3306,45.82822,29.38228
Uspenka,"Uspenka,Uspenskoye,Uzbenka,Успенка",PPL,9400,48.39077,39.16284
Tsybli,"Cibli,Tsybli,Циблі",PPL,3512,49.99484,31.56281
Trebukhiv,"Trebuhiv,Trebukhiv,Trebukhov,Trebukhovo,Требухов,Требухів",PPL,6207,50.48432,30.90304
Tokarevo,"Dzhamchi,Tokareve,Tokarevo,Джамчи́,Токарево,Токарєве",PPLA3,831,45.28367,35.15244
Tyshkivka,"Tishkivka,Tishkovka,Tiskivka,Tyshkivka,Тишковка,Тишківка",PPL,3368,48.49665,30.94229
Klepinino,"Klepinine,Klepinino,Tashly-Kipchak,Клепинино,Клепиніне,Ташлы́-Кипча́к",PPLA3,1966,45.528,34.18315
Taborivka,"Taborivka,Taborovka,Таборовка,Таборівка",PPL,1852,47.60863,31.38391
Syrove,"Sirove,Syrove,Syrovo,Syrové,Сирове,Сырово",PPL,1565,47.89552,30.45692
Stanivtsi,"Stanesti,Stanivci,Stanivtsi,Stanovcy,Stănești,Становцы,Станівці",PPL,2897,48.08333,26.06667
Solotvyno,"Aknaszlatina,Slatina,Solotvino,Solotvyno,Solotwyno,Sołotwyno,Солотвино",PPL,8632,47.94728,23.87433
Sokyryany,"Secureni,Secureni Targ,Secureni Târg,Sekiryany,Sekuren',Sekuren’,Sekuryany,Sokirjani,Sokirjany,Sokiryany,Sokyriany,Sokyryany,Сокиряни,Сокиряны",PPLA2,8877,48.44913,27.41138
Sofiyivka,"Sofievka,Sofiivka,Sofijewka,Sofiyivka,Sofiïvka,Софиевка,Софіївка",PPLA2,6601,48.04734,33.87237
Skalistoye,"Skaliste,Skalistoe,Skalistoye,Tav-Bodrak,Скалисте,Скалистое,Тав-Бодра́к",PPLA3,2997,44.81686,33.97791
Isayeve,"Isaeve,Issaieve,Issaïévé,Ісаєве",PPL,1513,47.47537,30.50152
Illintsi,"Il'incy,Illinci,Illintsi,Іллінці,Ильинцы",PPLA2,11284,49.10544,29.20589
Hlyboka,"Adancata,Adynkata,Gliboka,Glibookaya,Glyboka,Glybokaja,Glybokaya,Hlyboka,Khliboka,Глибока,Глыбокая",PPLA2,9424,48.08756,25.9284
Huty,"Guti,Guty,Huty,Гути,Гуты",PPL,1978,50.13322,35.34394
Hola Prystan,"Gola Pristan',Golaja Pristan',Hola Prystan,Гола Пристань,Голая Пристань",PPLA2,14069,46.52973,32.52408
Dymer,"Dimer,Dymer,Димер,Дымер",PPL,5624,50.78647,30.3026
Dubrovytsia,"Dabrowica,Dombrovica,Dombrovitsa,Dubrovicja,Dubrovitsa,Dubrovytsia,Dubrovytsya,Dąbrowica,Домбровица,Дубровиця",PPL,9359,51.57438,26.56503
Dnipro,"DNK,Dnepr,Dnepropetrovsk,Dniepr,Dniepropetrovskas,Dnipro,Dnipropetrovs'k,Dnipropetrovsk,Dnipropetrovsko,Dnipropetrowsk,Dniproslav,Dnipró,Dnjepropetrovsk,Dnjipro,Dnjipropetrovsk,Dnyipro,Dněpropetrovsk,Dņipro,Ekaterinoslav,Katerinoslav,Katerynoslav,Novij Kodak,Novorosiynsk,Novyy Kodak,Ntnipro,Sicheslav,Sichoslav,d ni por pet rxfskh,deunipeulopeteulousikeu,dnepropetrovska,dnepʼri,dnybrw,dnyprwptrwbsq,dnyprwptrwfsk,dnyprwptrwwsk,dnyprʼ,donipuropetoroushiku,nie bo cheng,Ντνίπρο,Днепр,Днепропетровск,Днипро,Дніпро,Дніпропетровськ,Дніпрослав,Днїпро,Дњипро,Екатеринослав,Катеринослав,Новий Кодак,Січослав,Դնեպր,דניפרא,דניפרופטרובסק,دنيبرو,دنیپروپتروفسک,دنیپروپترووسک,द्नेप्रोपेत्रोव्स्क,ดนีโปรเปตรอฟสค์,დნეპრი,ドニプロペトロウシク,聶伯城,드니프로페트로우시크",PPLA,998103,48.46664,35.04066
Dmytrivka,"Dmitrivka,Dmitrovka,Dmytrivka,Дмитровка,Дмитрівка",PPL,4070,48.78643,32.71767
Chkalovo,"Chkalove,Chkalovo,Чкалове,Чкалово",PPLA3,1098,45.60474,34.83395
Chaykino,"Chajkine,Chajkino,Chaykino,Malyj Tarkhan,Tarqanlar,Ма́лый Тарха́н,Чайкине,Чайкино",PPLA3,1011,45.81111,34.59538
Burlacha Balka,"Burlach'ya Balka,Burlacha Balka,Burlach’ya Balka,Бурлача Балка",PPL,1063,46.33984,30.66446
Bohuslav,"Boguslav,Boguslaw,Bohuslav,Bohuslaw,Bohusław,Богуслав",PPLA2,16498,49.54637,30.87407
Bogatoye,"Bagate,Bakhchi-Ehli,Bogatoe,Bogatoye,Багате,Бахчи́-Эли́,Богатое",PPLA3,973,45.02933,34.76732
Berezanka,"Berezanka,Bérézanka,Suvorovo,Tiligulo-Berezanka,Tiligulo-Berezannya,Березанка",PPLA2,4114,46.85159,31.38532
Bile,"Beloe,Beloye,Bile,Белое,Біле",PPL,6775,48.49523,39.05051
Bilivtsi,"Belauti,Belovcy,Belăuți,Bilivci,Bilivtsi,Беловцы,Білівці",PPL,1114,48.35,26.48333
Banyliv,"Baniliv,Banilov,Banyliv,Russish Banilya,Russkiy Banilov,Банилов,Банилів",PPL,3897,48.36221,25.34966
Banyliv-Pidhirnyy,"Banila Moldoveneasca,Banila pe Siret,Baniliv-Pidgirnij,Banilov-Podgornyj,Banyliv-Pidhirnyi,Banyliv-Pidhirnyï,Bănila Moldovenească,Bănila pe Siret,Банилов-Подгорный,Банилів-Підгірний",PPL,4012,48.08333,25.48333
Bakhmut,"Artemivs'k,Artemivsk,Artemovsk,Artemovskiy,Artemowsk,Artyomovsk,Artëmovsk,Bachmoet,Bachmut,Bahmut,Bajmut,Bakhmout,Bakhmut,Baxmut,baheumuteu,Артемовск,Артемівськ,Бахмут,바흐무트",PPLA2,80500,48.59441,37.99983
Oleksandrivka,"Aleksandrovka,Arnautka,Arnautovka,Oleksandrivka,Александровка,Олександрівка",PPL,7600,46.32868,30.63562
Lisove,"Lesovoe,Lisove,Lissove,Lissové,Лесовое,Лісове",PPL,1137,48.8419,32.33188
Shkol’noye,"Shkil'ne,Shkol'noe,Shkol'noye,Shkol’noye,Школьное,Шкільне",PPLA3,1964,45.05758,33.89737
Yuzhnoukrayinsk,"Juschnoukrajinsk,Juzhnoukrains'k,Juzhnoukrainsk,Youjno'oukrainsk,Youjno'oukraïnsk,Yuzhnoukrainsk,Южноукраинск,Южноукраїнськ",PPL,39048,47.82879,31.17513
Krasna Kosa,"Krasna Kosa,Krasna Kossa,Krasnaja Kosa,Rosia,Roșia,ke lie si na ke sa,Красна Коса,Красная Коса,克列斯納科薩",PPL,1013,46.3329,30.10016
Reni,"Rehni,Reni,Renis,Réni,lie ni,reni,rny,rny  awkrayn,Рени,Рені,Рэні,Ռենի,רני,رنی، اوکراین,რენი,列尼",PPLA2,18530,45.45421,28.27731
Serebriia,"Serebria,Serebriia,Serebrija,Serebriya,Серебрія",PPL,2906,48.45556,27.71635
Rudnytsya,"Roudnytsia,Rudnica,Rudnicja,Rudnitea,Rudnîțea,Рудница,Рудниця",PPL,1132,48.25964,28.93372
Repuzhyntsi,"Rapujineti,Repezhintsy,Repuyinetsy,Repuzhinci,Repuzhintsy,Repuzhynets,Repuzhyntsi,Repuzynce,Repużyńce,Răpujineţi,Репужинці",PPL,1636,48.65554,25.79109
Rozdory,"Razdory,Rozdori,Раздоры,Роздори",PPL,1721,48.32936,35.71204
Privetnoye,"Privetnoe,Privetnoye,Privitne,Uskut,Приветное,Привітне,Уску́т",PPL,1867,44.82145,34.67935
Priozyornoye,"Churubash,Priozerne,Priozernoe,Priozyornoye,Приозерне,Приозерное,Чуруба́ш",PPLA3,3005,45.2699,36.33405
Pomoriany,"Pomoriany,Pomorjani,Pomoryany,Pomorzany,Pomorzhany,Поморяни",PPL,1449,49.6427,24.9346
Pervomayskoye,"Bejtanysh,Pervomajs'ke,Pervomajskoe,Pervomayskoye,Бейтаны́ш,Первомайское,Первомайське",PPLA3,2247,45.11207,34.06478
Rykove,"Orta Quyu,Partizani,Partizany,Partyzany,Rikove,Rykovo,Партизани,Партизаны,Рикове,Рыково",PPL,3524,46.33067,34.74855
Vilshana,"Ol'shana,Vil'shana,Vilchana,Вільшана,Ольшана",PPL,2956,49.21708,31.2177
Novoyehorivka,"Novoegorivka,Novoegorovka,Novoiehorivka,Novoïéhorivka,Новоегоровка,Новоєгорівка",PPL,1454,47.32167,32.4871
Novopokrovka,"Novopokrovka,Shamshove,Новопокровка,Шамшове",PPL,1796,48.05811,34.60812
Murovane,"Laszki Murowane,Lyashki Muravane,Lyashki Murovany,Murovane,Murovanoe,Murovanoye,Murovany,Муроване,Мурованое",PPL,4251,49.52143,22.9367
Mykhalcha,"Mihalcea,Mikhal'cha,Mikhal'che,Mikhal'chi,Mikhal’cha,Mikhal’che,Mikhal’chi,Mykhalcha,Михальча",PPL,1490,48.24848,25.85207
Minyaylivka,"Manja,Manza,Menjajlovka,Miniailivka,Miniaïlivka,Minjajlivka,mi ni ya yi li fu ka,Меняйловка,Міняйлівка,米尼亞伊利夫卡",PPL,1645,46.37824,29.52021
Malokakhovka,"Malaya Kakhovka,Malokakhovka,Малокаховка",PPL,2862,46.78292,33.44662
Lokhvytsya,"Lokhvica,Lokhvicja,Lokhvytsia,Лохвица,Лохвиця",PPLA2,11338,50.36444,33.27153
Lyubashivka,"Lioubachivka,Ljubashivka,Ljubashjovka,Lyubashevka,Lyubashëvka,Любашёвка,Любашівка",PPL,9055,47.83387,30.25209
Krasne,"Krasne,Krasnoe,Krasné,Красне,Красное",PPL,1198,46.82297,31.39593
Kotel’nikovo,"Agujar-Dzhiren',Kotel'nikove,Kotel'nikovo,Kotel’nikovo,Агъя́р-Джире́нь,Котельникове,Котельниково",PPLA3,1373,45.36584,34.02575
Kormovoye,"Kormove,Kormovoe,Kormovoye,Togajly,Кормове,Кормовое,Тогайлы́",PPLA3,1360,45.50001,33.61192
Kobelyaky,"Kobeliaky,Kobeljaki,Kobéliaky,Кобеляки",PPLA2,9772,49.14936,34.20193
Kirovo,"Kirove,Kirovo,Vojkovshtadt,Войковшта́дт,Кирово,Кірове",PPLA3,807,45.22106,35.84227
Khmilnyk,"Khmel'nik,Khmil'nik,Khmilnyk,Хмельник,Хмільник",PPLA2,27707,49.5581,27.95682
Khartsyzk,"Harcizk,Kharciz'k,Kharcyzsk,Khartsysk,Khartsyz'k,Khartsyzk,Khartsyzsk,Khartsyz’k,Харцизьк,Харцызск",PPL,56367,48.04243,38.14728
Kamyane,"Kam'jane,Kamennoe,Kamiane,Kamiané,Каменное,Кам’яне",PPL,1188,47.87528,35.39651
Kalyny,"Alsokalinfalva,Alsókálinfalva,Kalini,Kaliny,Kalyny,Калини",PPL,5627,48.14403,23.87386
Kalanchak,"Dermendere,Kalanchak,Kalantchak,ka lan qia ke,Каланчак,卡蘭恰克",PPL,1208,45.54058,28.79374
Smyha,"Smiga,Smyga,Smyha,Смига,Смыга",PPL,2800,50.2391,25.76575
Nekrasovo,"Bol'shevik,Nekrasove,Nekrasovo,Большевик,Некрасове,Некрасово",PPL,1026,45.42453,34.28545
Suvorovo,"Suvorove,Suvorovo,Суворове,Суворово",PPL,1357,46.08865,33.688
