name,alternate_names,code,population,latitude,longitude
Velyki Mezhyrichi,"Mendzyzhech,Menzhirichi,Mezherichi,Mezhirichi,Mezhirichi-Koretskiye,Miedzyrzecz,Międzyrzecz,Veliki Mezhirichi,Velikie Mezhirichi,Velikiye Mezhirichi,Velyki Mezhyrichi,Великие Межиричи,Великі Межирічі",PPL,2192,50.65431,26.86626
Melitopol,"Kiz-Jar,Kyzyl-Yar,Melitopil',Melitopol,Melitopol',Melitopoli,Melitopolj,Melitopolʼ,Mélitopol,Novoalexandrovka,Novooleksandrivka,mellitopol,Μελιτοπόλη,Киз-Яр,Мелитополь,Мелітополь,Мелітопіль,Новоолександрівка,멜리토폴",PPLA2,153112,46.84735,35.38196
Larzhanka,"Largeanca,Larjanka,Larschanka,Larzhanka,Lărgeanca,la er ran ka,Ларжанка,拉爾然卡",PPL,2386,45.35492,28.71472
Letychiv,"Latyczow,Latyczów,Letichev,Letichiv,Letytchiv,Létytchiv,Летичeв,Летичів",PPLA2,10335,49.3801,27.61889
Krayneye,"Krajne,Krajnee,Krayneye,Teshij,Крайнее,Крайнє,Теши́й",PPLA3,875,45.22993,33.83239
Krasnogvardeyskoye,"Krasnogvardejskoe,Krasnogvardeyskoye,Krasnogvardijs'ke,Novyj Cjurikhtal',Красногвардейское,Красногвардійське,Но́вый Цюрихта́ль",PPLA3,1441,45.18348,34.95066
Krasnogorka,"Kenegez,Kop-Kenegez,Krasnogirka,Krasnogorka,Кенеге́з,Коп-Кенеге́з,Красногорка,Красногірка",PPLA3,827,45.24513,35.80739
Kozhanka,"Kozhanka,Кожанка",PPL,1778,49.97231,29.76424
Kornyn,"Kornin,Kornyn,Корнин",PPL,1974,50.0953,29.53581
Kirovskoye,"Islam-Terek,Kirovs'ke,Kirovskoe,Kirovskoye,Исла́м-Тере́к,Кировское,Кіровське",PPLA2,7064,45.22967,35.19987
Khorostkiv,"Chorostkow,Chorostków,Horostkiv,Khorostkiv,Khorostkov,Хоростков,Хоростків",PPL,6703,49.21385,25.91964
Khorosheve,"Khorosheve,Khoroshevo,Хорошеве,Хорошево",PPL,4432,49.8517,36.22759
Kamyanka-Dniprovska,"Kam'janka-Dniprovs'ka,Kam'janka-na-Dnipri,Kamenka-Dneprovskaja,Kamianka-Dniprovska,Kamyanka-na-Dnipri,Mala Znam'janka,Кам'янка-на-Дніпрі,Каменка-Днепровская,Кам’янка-Дніпровська,Мала Знам'янка",PPLA2,12638,47.49629,34.41026
Hrabove,"Grabova,Grabove,Grabovo,Hrabove,Hrabové,Грабове",PPL,1293,48.02341,29.03594
Hoshcha,"Goshcha,Goshha,Hoshcha,Hoszcza,Гоща",PPL,5084,50.6003,26.67435
Horokhivske,"Gorokhivs'ke,Gorokhovskoe,Horokhivske,Horokhivské,Гороховское,Горохівське",PPL,1022,46.95742,32.70372
Hertsa,"Gerca,Herta,Hertsa,Herța,Khertsa,Герца",PPL,2118,48.14752,26.26186
Dolyns’ke,"Anadol,Anadolka,Dolins'ke,Dolinskoe,Dolynske,Dolynské,Анадолка,Долинское,Долинське",PPL,2705,45.46878,28.32553
Brody,"Brodai,Brodi,Brody,Brodî,Brodı,beulodi,brodi,brody,brwdy,bu luo de,burodi,Броди,Броды,Բրոդի,ברודי,برودي,برودی,ბროდი,ブロディ,布羅德,브로디",PPL,23335,50.08791,25.15027
Bolhrad,"Balgrad,Bolgrad,Bolhrad,Bolhradas,Bołgrad,bo er he la de,bolgradi,bolheuladeu,bwlhrad,Балград,Болград,Բոլգրադ,بولهراد,ბოლგრადი,博爾赫拉德,볼흐라드",PPLA2,15044,45.67786,28.61811
Bendzary,"Bendzari,Bendzary,Бендзари",PPL,1316,47.9288,29.67703
Bilolissya,"Achmanghit,Akmangit,Beloles'e,Bilolissia,Bilolissja,bi luo li si xi ya,Акмангит,Белолесье,Білолісся,比洛利斯西亞",PPL,2335,45.89209,29.69894
Artsyz,"Alt-Arzis,Arciz,Arcyz,Arcyzas,Artsiz,Artsyz,Artsız,a er qi zi,artsizi,artsyz,Арциз,Арцыз,Արցիզ,أرتسيز,არციზი,阿爾齊茲",PPLA2,14757,45.98526,29.43286
Sofiivka,"Sofievka,Sofiivka,Sofiyevka,Sofiyivka,Sofiïvka,Софиевка,Софіївка",PPL,1343,48.0814,31.06588
Zachepylivka,"Zacepilivka,Zachenilovka,Zachepilivka,Zachepilovka,Zachepylivka,Зачепиловка,Зачепилівка",PPL,3386,49.19743,35.24202
Yasenove Druhe,"Jasenove Druge,Yasenovo Vtoroye,Yasinovo,Yasinovo Vtoroye,Yassenove Drouhe,Yassénové Drouhé,Ясенове Друге",PPL,1919,47.89931,30.01188
Vysokyi,"Visokij,Vysokiy,Vysokyi,Vysokyy,Високий",PPL,10988,49.89156,36.12175
Vylok,"Tiszaujlak,Tiszaújlak,Uileacu Tisei,Vilok,Vylok,Вилок",PPL,3136,48.11034,22.8389
Vodiane,"Vodiane,Vodjane,Vodjanoe,Vodyane,Vodyanoye,Водяне,Водяное",PPL,5685,47.48651,34.50422
Volodymyr-Volynskyi,"Lodomeria,Vladimir,Vladimir-Volynsk,Vladimir-Volynskij,Vladimir-Volynskiy,Vlodzimezh,Volodimir-Volins'kij,Volodymir-Volyns'kyy,Volodymir-Volyns’kyy,Volodymyr-Volyns'kyy,Volodymyr-Volynskyi,Volodymyr-Volyns’kyy,Wladimir-Wolynsk,Wlodzimierz,Wlodzimierz Wolynski,Wlodzimierzec,Włodzimierz,Włodzimierz Wołyński,Włodzimierzec,lwdmyr,wwlwdymyr-wwlynsqy,Владимир-Волынский,Володимир-Волинський,וולודימיר-וולינסקי,לודמיר",PPLA2,38256,50.85253,24.32364
Vesela Dolyna,"Chaga,Cleasnita,Cleaşniţa,Kl'ostic,Kljasticja,Kloestitz,Klöstitz,Shaga,Vesela Dolina,Vesela Dolina,Vesela Dolîna,Vesjolaja Dolina,Vessela Dolona,Vessela Dolyna,Vessela Dolõna,Vesséla Dolyna,Vesyolaya Dolina,Wessela Dolyna,wei xie la ge li na,Весела Долина,Весёлая Долина,Кльостіц,Клястиця,Чага,Шага,Վեսյոլայա Դոլինա,韋謝拉戈利納",PPL,1207,46.23216,29.32385
Verkhnodniprovsk,"Verkhn'odniprovs'k,Verkhnedneprovsk,Verkhnodniprovsk,Верхнеднепровск,Верхньодніпровськ",PPLA2,16176,48.65557,34.3262
Velyka Lepetykha,"Bol'shaja Lepetikha,Velika Lepetikha,Velikaja Lepetikha,Velyka Lepetykha,Vélyka Lépétykha,Большая Лепетиха,Велика Лепетиха,Великая Лепетиха",PPLA2,8047,47.17138,33.93147
Vapnyarka,"Vapniarka,Vapnjarka,Вапнярка",PPL,7316,48.5311,28.747
Desna,"Desna,Десна",PPL,1300,49.28166,28.54034
Svitiaz,"Svitiaz,Svitjaz',Svityaz',Svityaz’,Свитязь,Світязь",PPL,1845,51.48211,23.85904
Sukhoverkhiv,"Soukhoverkhiv,Suhoverca,Sukhoverkhiv,Sukhoverkhov,Суховерхов,Суховерхів",PPL,1881,48.46199,25.75439
Sukholuzhzhia,"Crivda,Luiba,Sukhi Chairi,Sukholuzh'ye,Sukholuzhzhia,Sukholuzhzhja,Sukholuzhzhya,Sukholuzh’ye,Zalivne,su huo lu ri zha,Заливне,Сухолужжя,Сухі Чаїри,蘇霍盧日扎",PPL,1127,46.21667,30.26402
Sudova Vyshnia,"Sadowa Wisznia,Sondova Vishnya,Sudova Vishnja,Sudova Vyshnia,Sudova Vyshnya,Sudovaya Vishna,Sudovaya Vishnya,Sądowa Wisznia,Wisznia,Судова Вишня",PPL,6504,49.78892,23.37218
Stryi,"Strij,Stry,Stryi,Stryj,Stryy,Стрий,Стрый",PPLA2,61404,49.26171,23.84721
Stolbovoye,"Kurulu,Stolbovoe,Stolbovoye,Stovpove,Курулу́,Стовпове,Столбовое",PPLA3,1082,45.3627,33.49584
Stepove,"Kapistrovo,Karlosruye,Karlsrue,Karlsruye,Stepove,Stepovoye,Степове",PPL,1869,47.18937,31.51772
Stary Krym,"Eski Qirim,Eski Qyrym,Eski Qırım,Starij Krim,Stary Krym,Staryj Krym,Старий Крим,Старый Крым",PPLA3,9370,45.02887,35.09174
Solonytsivka,"Sinelitsovka,Sinolitsevka,Solonicevka,Solonicivka,Solonitsevka,Solonytsivka,Солоницевка,Солоницівка",PPL,12378,49.99682,36.03464
Sofiivka,"Sofiivka,Sofijivka,Sofiyevka,Sofiyivka,Софіївка",PPL,3481,45.09456,34.00133
Sytkivtsi,"Sitkivci,Sitkovcy,Sytkivtsi,Ситковцы,Ситківці",PPL,2223,48.90932,29.19871
Zhelyabovka,"Andreevka,Chaja,Zheljabovka,Zhelyabovka,Андре́евка,Желябовка,Чая́",PPLA3,2669,45.39877,34.75776
Zabolotiv,"Zablotow,Zabolotiv,Zabolotov,Zabłotów,Заболотов,Заболотів",PPL,3998,48.467,25.28523
Yampil’,"Jampol',Yampil',Yampil’,Yampol',Yampol’,Ямполь",PPL,7200,51.94765,33.78759
Vyhoda,"Vigoda,Vygoda,Vyhoda,Вигода,Выгода",PPL,4010,46.61645,30.40031
Voronkiv,"Voron'kiv,Voronkiv,Voronkov,Воронков,Вороньків",PPL,4000,50.22235,30.89967
Volnovakha,"Volnovacha,Volnovaha,Volnovahha,Volnovaja,Volnovakha,Volnovaxa,Volovakha,Wolnowacha,Wołnowacha,fwlnwfakha,volnovakha,vuorunovuaha,wo er nuo wa ha,wwlnwwakha,Волноваха,Վոլնովախա,فولنوفاخا,وولنوواخا,ვოლნოვახა,ヴォルノヴァーハ,沃爾諾瓦哈",PPLA2,23731,47.60103,37.49674
Vyzhenka,"Vijnicioara,Vizhenka,Vyzhenka,Vyzhenka Velyka,Виженка",PPL,1001,48.21091,25.18183
Vytylivka,"Viteluvca,Vitilevka,Vitilivka,Vytylivka,Витилевка,Витилівка",PPL,1032,48.40452,25.80456
Vasylivka,"Vasileuti,Vasileuți,Vasilevka,Vasilivka,Vassylivka,Василевка,Василівка",PPL,1372,48.52652,27.47376
Varvarivka,"Varvarivka,Varvarovka,Варваровка,Варварівка",PPL,1912,49.53797,35.20182
Utkivka,"Utkivka,Utkovka,Утковка,Утківка",PPL,1272,49.79389,36.01867
Tovste,"Tluste,Tolstoe,Tovste,Tovsté,Товсте,Толстое",PPL,3248,48.84586,25.7256
Tochylove,"Tochilove,Tochilovo,Tochylove,Точилове",PPL,1181,47.7712,29.74867
Maslovo,"Maslove,Maslovo,Tensu,Маслове,Маслово,Тенсу́",PPLA3,2222,45.79197,34.36298
Tenistoye,"Kalymtaj,Tenistoe,Tenistoye,Tiniste,Калымта́й,Тенистое,Тінисте",PPLA3,1211,44.74303,33.66812
Talalaivka,"Talalaevka,Talalaivka,Talalayevka,Talalayivka,Талалаевка,Талалаївка",PPL,5054,50.95783,31.92085
Stepnohirsk,"Janchekrak,Stepnogirs'k,Stepnogorsk,Stepnohirsk,Sukhoivanivka,Yanchekrak,Степногорск,Степногірськ,Сухоіванівка,Янчекрак",PPL,4420,47.59015,35.36399
Stroyntsi,"Stroesti,Stroești,Stroinci,Stroincy,Strointsi,Stroïntsi,Строинцы,Строїнці",PPL,1547,48.24555,26.25563
Stara Vyzhivka,"Stara Vizhivka,Stara Vizivka,Stara Vyzhivka,Stara Vyzhva,Staraya Vizhivka,Staraya Vyzhevka,Стара Вижівка",PPL,5466,51.43762,24.43997
Slavuta,"Slavouta,Slavuta,Slawuta,Szlavuta,Sławuta,aslawwta,si la wu ta,Славута,Սլավուտա,סלאוויטא,اسلاووتا,სლავუტა,斯拉武塔",PPLA2,35444,50.29609,26.86613
Skole,"Skol'ye,Skole,Skole i Ukraina,Skol’ye,askwlh,si ke lie,Сколе,Սկոլե,اسکوله,სკოლე,斯科列",PPLA2,6491,49.03717,23.51346
Glazovka,"Baksy,Glazivka,Glazovka,Баксы́,Глазовка,Глазівка",PPLA3,1018,45.38792,36.57965
