name,latitude,longitude,inf_type
Hirka,44.8861452,33.8678743,City/Town
Dibrivka,44.9147941,33.8374534,City/Town
Dorozhnie,44.871974,33.8221346,City/Town
Skalyste,44.8078206,33.9759203,City/Town
Hlybokyi Yar,44.7911578,33.9158833,City/Town
Prokhladne,44.7533201,33.9937749,City/Town
Trudoliubivka,44.786195,33.9956609,City/Town
Tabachne,44.9025204,33.6767553,City/Town
Tinyste,44.7427977,33.6689526,City/Town
Aivove,44.736634,33.6456747,City/Town
Krasna Zoria,44.7527436,33.7199651,City/Town
Nekrasovka,44.7480296,33.6925416,City/Town
Suvorove,44.7339563,33.6284969,City/Town
Uhlove,44.8259156,33.5945389,City/Town
Bilohirsk,45.0566357,34.6000416,City/Town
Zuia,45.0540433,34.3176328,City/Town
Balanove,45.0024804,34.3291511,City/Town
Barabanove,44.9807765,34.3222317,City/Town
Verkhni Orishnyky,45.0094062,34.2918794,City/Town
Volodymyrivka,45.1133113,34.2968831,City/Town
Lytvynenkove,45.0817079,34.3103717,City/Town
Nyzhni Orishnyky,45.0364885,34.2974065,City/Town
Petrove,44.9877632,34.3035502,City/Town
Ukrainka,45.1302903,34.2788039,City/Town
Aromatne,45.036692,34.3994148,City/Town
Krasnohirske,45.0031086,34.3462344,City/Town
Kurortne,44.9943344,34.3626759,City/Town
Bahate,45.0280945,34.7669909,City/Town
Horlynka,45.0097721,34.7511512,City/Town
Krasna Sloboda,44.9848495,34.7423552,City/Town
Melekhove,45.0380886,34.7848662,City/Town
Povorotne,44.9484821,34.7230985,City/Town
Ruske,45.0198126,34.7906187,City/Town
Cheremysivka,45.0146808,34.7358081,City/Town
Vasylivka,45.1385844,34.7224428,City/Town
Malynivka,45.1314603,34.738086,City/Town
Nekrasove,45.0936379,34.7729296,City/Town
Pavlivka,45.1783069,34.7146546,City/Town
Prolom,45.1093324,34.7109535,City/Town
Sieverne,45.1573551,34.729873,City/Town
Vyshenne,45.1454445,34.5970697,City/Town
Bila Skelia,45.0916646,34.6241228,City/Town
Myronivka,45.1353682,34.5704671,City/Town
Zelenohirske,45.0085281,34.4673334,City/Town
Balky,44.9943064,34.4537512,City/Town
Mizhhiria,44.9886812,34.4035549,City/Town
Novohryhorivka,45.0217459,34.4867438,City/Town
