name,latitude,longitude,inf_type,population
Merefa,49.8183386,36.0628675,City/Town,21421
Armiansk,46.113261,33.6904091,City/Town,21239
Kremenets,50.0960966,25.7260783,City/Town,20674
Sokal,50.4791313,24.2770538,City/Town,20659
Dolyna,48.9782308,23.9789588,City/Town,20641
Sukhodilsk,48.35323,39.72484,City/Town,20474
Polonne,50.1194505,27.5085733,City/Town,20471
Lyman,48.9801314,37.8168012,City/Town,20469
Stebnyk,49.29871335,23.55612692138341,City/Town,20398
Liubotyn,49.9435604,35.9185185,City/Town,20376
Krasnohrad,49.3741326,35.4494234,City/Town,20013
Trostianets,50.48046,34.96467,City/Town,19797
Popasna,48.62995,38.36632,City/Town,19672
Yahotyn,50.2758913,31.7634861,City/Town,19270
Henichesk,46.1738032,34.8068643,City/Town,19253
Kiliia,45.4409767,29.2652788,City/Town,19116
Kalynivka,49.4583688,28.5262638,City/Town,18695
Krasyliv,49.6544431,26.9709084,City/Town,18583
Kurakhove,47.9835214,37.2826414,City/Town,18506
Volochysk,49.5358446,26.2126215,City/Town,18474
Piatykhatky,48.4124318,33.7016613,City/Town,18457
Kreminna,49.0463189,38.2178525,City/Town,18417
Polohy,47.4776419,36.2622651,City/Town,18396
Balta,47.9363162,29.6225979,City/Town,18079
Amvrosiivka,47.7952806,38.4798317,City/Town,18047
Dniprorudne,47.3899205,35.0028481,City/Town,18036
Reni,45.455413,28.2790948,City/Town,18011
Vovchansk,50.2928843,36.9370028,City/Town,17747
Derhachi,50.107307,36.1205965,City/Town,17433
Bakhmach,51.1801374,32.8165107,City/Town,17192
Starobilsk,49.2829156,38.9216444,City/Town,16267
Vatutine,49.0113418,31.04297462354541,City/Town,16096
Zvenyhorodka,49.0725767,30.969734016356565,City/Town,16490
Zuhres,48.0181156,38.2699093,City/Town,17924
Skadovsk,46.1203932,32.910339,City/Town,17344
Svatove,49.4150599,38.1551287,City/Town,16420
Shpola,49.0132605,31.393139,City/Town,16573
Novoukrainka,48.31470075,31.531643605039136,City/Town,16338
Korsun-Shevchenkivskyi,49.418037,31.2556741,City/Town,17474
Lutuhyne,48.4008342,39.1981259,City/Town,17134
Bilohirsk,45.0584385,34.594959,City/Town,—
Dolynska,48.1164313,32.7638204,City/Town,18460
Iziaslav,50.1194691,26.8207625,City/Town,16162
Bilopillia,51.1460449,34.3121992,City/Town,15850
Bohodukhiv,50.1601711,35.5220539,City/Town,14882
Skvyra,49.7337685,29.6624138,City/Town,15406
Karlivka,49.4537175,35.1374845,City/Town,14172
Orikhiv,47.5691902,35.7789871,City/Town,14136
Bilozerske,48.53313,37.05791,City/Town,14940
Zolote,48.6901104,38.5121584,City/Town,13203
Yunokomunarivsk,48.2213624,38.2875306,City/Town,13544
Pidhorodne,48.5681471,35.1013002,City/Town,19336
Rozdilna,46.8546716,30.0711363,City/Town,17593
Horodok,49.784596,23.6465626,City/Town,15835
Chervonopartyzansk,48.07617,39.7736,City/Town,15273
Ilovaisk,47.9248328,38.1976205,City/Town,15447
Berezhany,49.4450296,24.938854,City/Town,17316
Novohrodivka,48.1997174,37.3399704,City/Town,14300
Vuhledar,47.7805058,37.2484374,City/Town,14432
Berezan,50.3132713,31.4689158,City/Town,16202
Putyvl,51.3359821,33.8715451,City/Town,15100
Bolhrad,45.6776425,28.6134129,City/Town,15479
Bar,49.0778949,27.6814809,City/Town,15563
Svaliava,48.5460735,22.9895489,City/Town,17124
Bohuslav,49.54765,30.8733,City/Town,15975
Huliaipole,47.6655382,36.2656849,City/Town,13070
Zmiiv,49.6815177,36.354776,City/Town,14071
Ovruch,51.3259771,28.8026718,City/Town,15332
Verkhnodniprovsk,48.6541915,34.3347779,City/Town,15749
Ochakiv,46.6145957,31.5452994,City/Town,13927
Krasnohorivka,48.01068,37.50449,City/Town,14917
Kivertsi,50.8333448,25.4648622,City/Town,13917
Pyriatyn,50.2361111,32.5011111,City/Town,15111
Mykolaivka,48.8610868,37.7619191,City/Town,14444
Chasiv Yar,48.5873911,37.8373367,City/Town,12557
Vilniansk,47.9433,35.43159,City/Town,14583
Dunaivtsi,48.886649,26.8476798,City/Town,15799
Apostolove,47.6617478,33.7180001,City/Town,13246
Talne,48.8889723,30.6980137,City/Town,13012
Artsyz,45.9962017,29.431517,City/Town,14486
Novyi Buh,47.6933814,32.5106596,City/Town,15003
Tulchyn,48.6730485,28.8569476,City/Town,14668
Haivoron,48.3366182,29.8677468,City/Town,14214
Horodok,49.784596,23.6465626,City/Town,16158
Hola Prystan,46.5320381,32.5345028,City/Town,13760
Nosivka,50.9377744,31.5812258,City/Town,13120
Zhashkiv,49.2478012,30.1066179,City/Town,13355
Horodyshche,48.3232559,38.6335767,City/Town,13304
Vasylivka,47.4431859,35.2803026,City/Town,12771
Kamianka-Dniprovska,47.4900938,34.4109101,City/Town,12332
Petrovske,48.29418,38.86619,City/Town,12683
Beryslav,46.8357749,33.416743,City/Town,12123
Snihurivka,47.070721,32.7924643,City/Town,12307
Radomyshl,50.4961812,29.2289588,City/Town,13973
Burshtyn,49.2516287,24.6341893,City/Town,14866
Rakhiv,48.0556765,24.2057063,City/Town,15596
Novhorod-Siverskyi,52.004259,33.2779899,City/Town,12647
Kamianka,49.036152,32.09952881409262,City/Town,11146
Tetiiv,49.3686166,29.6771098,City/Town,12776
Mykolaiv,46.9758615,31.9939666,City/Town,14637
Ostroh,50.329021,26.5203627,City/Town,15195
Zelenodolsk,47.5668051,33.6474574,City/Town,12874
Vakhrusheve,,,City/Town,11457
Khorol,49.7822104,33.2740646,City/Town,12720
Storozhynets,48.1629489,25.7207993,City/Town,14138
Sudak,44.8488369,34.971099,City/Town,—
Siversk,48.87302,38.09543,City/Town,11068
Koriukivka,51.77444,32.2514,City/Town,12409
Biliaivka,46.4826109,30.2014161,City/Town,12477
Hirnyk,48.0567943,37.3723976,City/Town,10581
Ukrainka,50.1537167,30.7420742,City/Town,16276
Nova Odesa,47.310996,31.7739735,City/Town,11690
Horodnia,51.8915393,31.595545,City/Town,11710
Shchastia,48.7453063,39.17110517552807,City/Town,11552
Kaharlyk,49.8650658,30.8226786,City/Town,13351
Zhdanivka,48.1570316,38.2565049,City/Town,11913
Berezne,51.0035653,26.7524487,City/Town,13280
Terebovlia,49.2960742,25.692491,City/Town,13279
Vynnyky,49.8168013,24.1381342,City/Town,18527
Rozhyshche,50.90994275,25.269738799552577,City/Town,12584
Yavoriv,49.9456001,23.3886319,City/Town,12888
Zhovkva,50.056134,23.9711967,City/Town,13895
Tarashcha,49.555498,30.5023421,City/Town,9889
Myronivka,49.6583412,30.9824887,City/Town,11255
Bershad,48.36594,29.51889,City/Town,12466
Ukrainsk,48.09471,37.35866,City/Town,10837
Zbarazh,49.6607393,25.7768485,City/Town,13431
Novomyrhorod,48.80062325,31.65121456444669,City/Town,10910
Uzyn,49.8284745,30.4197205,City/Town,11935
Svitlodarsk,48.43803,38.22349,City/Town,11281
Soledar,48.6948731,38.0627964,City/Town,10692
Bashtanka,47.4033486,32.4388921,City/Town,12327
Mala Vyska,48.6452224,31.633638239248526,City/Town,10133
Irmino,48.6013803,38.6018666,City/Town,9343
Barvinkove,48.9070045,37.0287573,City/Town,8110
Prymorsk,46.7343149,36.3472151,City/Town,11397
Mena,51.52279,32.21638,City/Town,11096
Hlobyne,49.392047,33.2507308,City/Town,9129
Hnivan,49.0933696,28.338343,City/Town,12314
Komsomolske,,,City/Town,11447
Ichnia,50.8623444,32.3910144,City/Town,10585
Novoazovsk,47.1138718,38.0830911,City/Town,11104
Baranivka,50.29369,27.66666,City/Town,11343
Buchach,49.0630503,25.389969,City/Town,12321
Lokhvytsia,50.3595181,33.2741725,City/Town,11119
Snovsk,51.8187527,31.9448953,City/Town,10825
Bobrynets,48.05729,32.15938,City/Town,10559
Nemyriv,48.9654035,28.8430131,City/Town,11563
Kobeliaky,49.1433333,34.2002778,City/Town,9627
Rodynske,48.3536652,37.2034069,City/Town,9948
Chyhyryn,49.0768871,32.66612288227482,City/Town,8664
Bobrovytsia,50.7415033,31.3860852,City/Town,10742
Sosnivka,50.2909116,24.2563161,City/Town,10838
Zhydachiv,49.3831172,24.1426813,City/Town,10525
Yampil,49.9562165,26.2274578,City/Town,10787
Mospyne,47.8813092,38.0746792,City/Town,10493
Borzna,51.2534475,32.4263156,City/Town,9632
Shcholkine,45.4291446,35.8222792,City/Town,—
Buryn,51.1960431,33.8288042,City/Town,8359
Kamianka-Buzka,50.1046656,24.3453414,City/Town,10544
Hrebinka,50.1206044,32.4289258,City/Town,10645
Khrystynivka,48.812969,29.9677872,City/Town,10068
Hirske,48.7395184,38.4919701,City/Town,9274
Tavriisk,46.7550442,33.4248309,City/Town,10250
Borshchiv,48.8025557,26.0401871,City/Town,10765
Zymohiria,48.5855995,38.9277816,City/Town,9591
Khotyn,48.5068418,26.4859086,City/Town,9075
Illintsi,49.1136358,29.2024356,City/Town,11185
Pomichna,48.2407152,31.418291849593256,City/Town,8750
Olevsk,51.22272,27.64881,City/Town,10226
Kamin-Kashyrskyi,51.61866655,24.96461202911552,City/Town,12519
Tatarbunary,45.8398696,29.6166537,City/Town,10933
Pohrebyshche,49.4848166,29.2579157,City/Town,9382
Marinka,47.9401242,37.5022312,City/Town,9256
Bolekhiv,49.0663203,23.8598949,City/Town,10330
Inkerman,44.6181043,33.6043271,City/Town,10027
Zinkiv,50.21026,34.35768,City/Town,9328
Khodoriv,49.4065802,24.3140241,City/Town,9108
Sniatyn,48.4523142,25.5518046,City/Town,9844
Derazhnia,49.2688322,27.4327085,City/Town,9917
Liuboml,51.2274054,24.0396571,City/Town,10421
Valky,49.8305999,35.6088208,City/Town,8721
Novodnistrovsk,48.58485,27.4311004,City/Town,10590
Radyvyliv,50.1279775,25.2487069,City/Town,10472
Vuhlehirsk,48.3119524,38.2609048,City/Town,7317
Sokyriany,48.4460307,27.411193,City/Town,8652
Verkhivtseve,48.48404,34.24232,City/Town,10081
Zalishchyky,48.6402658,25.735898,City/Town,9021
Staryi Krym,45.03339285,35.09667583036527,City/Town,—
Bilytske,48.4081883,37.1797003,City/Town,7913
Pereshchepyne,49.01825,35.35915,City/Town,9720
Andrushivka,50.0301392,29.0222111,City/Town,8458
Pustomyty,49.7189582,23.9047288,City/Town,10873
Horodenka,48.6720598,25.4952722,City/Town,8972
Tysmenytsia,48.9018102,24.8484719,City/Town,9096
Tiachiv,48.01163,23.5783799,City/Town,8943
Semenivka,49.6701668,23.9064696,City/Town,7952
