name,latitude,longitude,inf_type,population
Babakove,48.2699572,35.8006176,City/Town,
Babaky,50.2389004,35.3754501,City/Town,
Babanivka,46.6993003,35.8504191,City/Town,
Babanka,48.707055,30.4463946,City/Town,
Babanske,50.0042149,34.4716438,City/Town,
Babaryky,50.9088465,30.9856276,City/Town,
Babatsi,51.1777075,23.9855461,City/Town,
Babche,48.6715576,24.462636,City/Town,
Babchyntsi,48.4155044,28.1539828,City/Town,
Babenkivka Druha,46.203734,33.3636515,City/Town,
Babenkivka Persha,46.1828966,33.4909062,City/Town,
Babenkove,49.2443265,37.3261935,City/Town,
Babenky,50.0946884,35.6151363,City/Town,
Babianka,48.7199876,24.8159448,City/Town,
Babii,50.1377777,23.7602921,City/Town,
Babka,51.3878632,25.8838974,City/Town,
Baboloky,50.5261881,25.4547181,City/Town,
Babshyn,48.4731325,26.5537002,City/Town,
Babske,48.7217285,24.1570169,City/Town,
Babukhiv,49.3581559,24.6057644,City/Town,
Baburka,47.798511,35.0654224,City/Town,
Babushky,50.000522,28.1819176,City/Town,
Babycheve,49.9439458,38.2274169,City/Town,
Babychi,49.6349979,31.3924612,City/Town,
Babychivka,49.2915775,33.2410824,City/Town,
Babyn,48.5251699,26.8580179,City/Town,
Babyn-Zarichnyi,49.0491318,24.5168386,City/Town,
Babyna,49.5637334,23.2680159,City/Town,
Babyna Dolyna,48.9100272,28.2421363,City/Town,
Babyne,49.6411213,27.5109408,City/Town,
Babyno,49.3166357,22.8439285,City/Town,
Babyntsi,50.6301018,30.0214091,City/Town,
Babynychi,51.1746003,28.9754293,City/Town,
Bachiv,49.5403916,24.6525467,City/Town,
Bachivsk,51.848518,34.2787851,City/Town,
Bachka,50.0705001,24.7995818,City/Town,
Bachkuryne,48.9554121,29.8691361,City/Town,
Bachmanivka,50.3555564,27.0328771,City/Town,
Bachyna,49.4613308,23.0414975,City/Town,
Badalovo,48.1102371,22.6423813,City/Town,
Badiv,48.3558519,22.3550797,City/Town,
Badivka,50.380509,26.6012557,City/Town,
Badorivka,49.6301623,33.0344633,City/Town,
Bahacheve,47.1360727,29.8026378,City/Town,
Bahachivka,49.0563144,31.0957496,City/Town,
Bahachka,49.9803515,38.3612216,City/Town,
Bahachka Persha,49.7043061,33.6068244,City/Town,
Bahata Cherneshchyna,49.0060735,35.5664752,City/Town,
Bahata Ushchelyna,44.5567621,33.8709211,City/Town,
Bahate,50.5927023,27.3926656,City/Town,
Bahativka,44.8699864,35.060565,City/Town,
Bahatkivtsi,49.3992274,25.3689533,City/Town,
Bahatyr,47.994144,36.9358822,City/Town,
Baherove,45.3746988,36.2971389,City/Town,
Bahlai,49.6973773,27.4176463,City/Town,
Bahlaiky,49.6139291,27.0723552,City/Town,
